"filename", "language", "Markdown", "Sass", "SCSS", "HTML", "YAML", "JSON", "BibTeX", "Shell Script", "JSON with Comments", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"/mnt/nodo/Repos/website-version-1/_sass/components/modal.sass", "Sass", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 114
"/mnt/nodo/Repos/website-version-1/_sass/components/navbar.sass", "Sass", 0, 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29, 444
"/mnt/nodo/Repos/website-version-1/_sass/components/pagination.sass", "Sass", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 150
"/mnt/nodo/Repos/website-version-1/_sass/components/panel.sass", "Sass", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 104
"/mnt/nodo/Repos/website-version-1/_sass/components/tabs.sass", "Sass", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 152
"/mnt/nodo/Repos/website-version-1/_sass/elements/_all.sass", "Sass", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/mnt/nodo/Repos/website-version-1/_sass/elements/box.sass", "Sass", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/mnt/nodo/Repos/website-version-1/_sass/elements/button.sass", "Sass", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 306
"/mnt/nodo/Repos/website-version-1/_sass/elements/container.sass", "Sass", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/mnt/nodo/Repos/website-version-1/_sass/elements/content.sass", "Sass", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 156
"/mnt/nodo/Repos/website-version-1/_sass/elements/form.sass", "Sass", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/mnt/nodo/Repos/website-version-1/_sass/elements/icon.sass", "Sass", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 22
"/mnt/nodo/Repos/website-version-1/_sass/elements/image.sass", "Sass", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 70
"/mnt/nodo/Repos/website-version-1/_sass/elements/notification.sass", "Sass", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36
"/mnt/nodo/Repos/website-version-1/_sass/elements/other.sass", "Sass", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/mnt/nodo/Repos/website-version-1/_sass/elements/progress.sass", "Sass", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 68
"/mnt/nodo/Repos/website-version-1/_sass/elements/table.sass", "Sass", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 128
"/mnt/nodo/Repos/website-version-1/_sass/elements/tag.sass", "Sass", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 122
"/mnt/nodo/Repos/website-version-1/_sass/elements/title.sass", "Sass", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 71
"/mnt/nodo/Repos/website-version-1/_sass/fa/_animated.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
"/mnt/nodo/Repos/website-version-1/_sass/fa/_bordered-pulled.scss", "SCSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"/mnt/nodo/Repos/website-version-1/_sass/fa/_core.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"/mnt/nodo/Repos/website-version-1/_sass/fa/_fixed-width.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 7
"/mnt/nodo/Repos/website-version-1/_sass/fa/_icons.scss", "SCSS", 0, 0, 1385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1389
"/mnt/nodo/Repos/website-version-1/_sass/fa/_larger.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"/mnt/nodo/Repos/website-version-1/_sass/fa/_list.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/mnt/nodo/Repos/website-version-1/_sass/fa/_mixins.scss", "SCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 57
"/mnt/nodo/Repos/website-version-1/_sass/fa/_rotated-flipped.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 25
"/mnt/nodo/Repos/website-version-1/_sass/fa/_screen-reader.scss", "SCSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
